In 100 Gramm	kcal	 kjoule	 BE	 KH (g)	 F (g)	 EW (g)
Leinsamen (Leinsaat, ganz oder als Leinsamenmehl)	390	1637	0	0	30,9	24,4
Liebstöckel, Liebstöckl, getrocknet	259	1062	2,5	30,6	5,1	20
Limburger, 40 % Fett in Trockenmasse	267	1110	0	0	19,7	22,4
Lindenberger Käse light	293	1230	0	0	17,5	31
Lindenberger Käse	380	1596	0	0	28	28,5
Linsen, reif, getrocknet	314	1335	4,5	52	1,4	23,5
Linsen, rot, getrocknet	339	1424	4,5	50	2	27,5
Linsenmehl	324	1362	4,5	52,5	1,5	23,2
Lotsenwurst (Salami, Mettwurst)	319	1341	0	0,5	25	20,2
Low Carb Pasta, gekocht	146	615	1	8,5	1,2	23,9
Low Carb Pasta, roh	379	1590	2	22	3	62
Lupinenkerne, Lupinenbohnen, Lupinensamen, roh (Sojaersatz)	253	1062	0,5	5	6	42
Maasdamer, 45 % Fett in Trockenmasse	356	1485	0	0	27,6	25,9
Magermilchpulver, Trockenmilch	369	1548	4,5	51,5	0,9	35,5
Maggi-Würze	223	939	1,5	15	7	25
Makrelen, geräuchert, Räucherfisch	222	925	0	0	15,5	20,7
Makrelenfilets, natur	276	1159	0	0,2	20,1	21.1
Mettwurst, luftgetrocknete (Stracke, Dürre Runde, Hartwurst, Ahle Worscht, Ahle Wurscht, Feldkieker)	354	1478	0	0	28,3	23,3
Milchpulver, teilentrahmt, Trockenmilch	436	1832	4	44	13,5	31
Minisalami (Mini-Salami)	548	2318	0	1	49	21
Minisalami light (Mini-Salami, hier: Linessa)	391	1640	0	1	28	30
Mohnsamen	477	1976	0,5	4,2	42,2	20,2
Molke-Eiweiß-Pulver, Molkeprotein-Pulver, Molkepulver, Whey Powder	363	1523	0,5	6,5	4,5	70
Mondseer Käse, 45 % Fett in Trockenmasse	333	1399	0	1	25	23
Moringapulver (Antioxydans, Aminosäureträger, Vitaminlieferant)	293	1231	3	37	3	27
Mozzarella light (Mozarella, Panir, Büffelkäse, Pizzakäse)	114	480	0	0	12,3	22
Mungobohnen, Mungbohnen, Jerusalembohnen, Lunjabohnen, Mung Dal, Mung Daal, reif	269	1143	3,5	41,5	1,2	23,1
Münsterkäse, 45 % Fett in Trockenmasse	290	1204	0	0	22,6	21,6
Nussschinken (vom Schwein)	133	558	0	1	3	24
Ochsenschwanz, Rinderschwanz (roh)	196	821	0	0	11,9	20,2
Osso Collo (magerer Schweinehals, trocken gesalzen, kaltgeräuchert, luftgetrocknet.)	299	1254	0	0	19	29
Paprika-Salami	357	1499	0	1	28	22
Paprikakäse (Schnittkäse)	375	1573	0	1	29	24
Parmaschinken, Prosciutto di Parma (vom Schwein)	250	1058	0	0,5	15,5	27,5
Parmesan (Reibekäse, Streukäse)	375	1560	0	0	25,8	35,6
Pasta alla Eva (Low Carb Pasta), gekocht	129	542	0,5	3,8	2,4	21,7
Pasta alla Eva (Low Carb Pasta), roh	375	1574	1	11	7	63
Pecorino (fetter Schafskäse)	403	1694	0	1	33	22
Perlhuhn (Perlhähnchen, Perlhühnchen) (roh)	146	510	0	0	7,3	20,1
Pfefferkäse (Schnittkäse)	375	1573	0	1	29	24
Pferdefleisch (roh)	161	681	0	0,6	3,5	30
Pferdesalami, Pferdewurst, Rosswurst	242	1020	0	0	26,1	20,8
Plockwurst	319	1322	0	0	26,3	20,5
Presswurst (Soppressa, Soppressata, ital. Salami-Art)	345	1450	0	0,2	28	20
Pro Body Brot, LowCarb-Brot, Glutenbrot, Eiweißbrot	271	1139	0,5	6,1	16,8	21,4
Puten mit Haut (Truthahn mit Haut, Truten mit Haut) (roh)	151	632	0	0	6,8	22,4
Puten-Kassler, gepökelt	97	409	0	1	1	20
Putenbrust (Truthahnbrust, Trutenbrust) (roh)	105	447	0	0	1	24,1
Putenkeule, Putenschenkel (Truthahnkeule, Trutenkeule) (roh)	114	482	0	0	3,6	20,5
Putenleber (Truthahnleber, Trutenleber) (roh)	133	559	0	1	5	21
Putenmedaillons vom Grill 	120	503	0	1	2,5	22
Putenrollbraten mit Zwiebel-Tomaten-Soße	118	496	0,5	1	3	21
Putensalami (Truthahnsalami, Trutensalami, Geflügelsalami)	315	1332	0	1	24	22
Putenschinken (Truthahnschinken, Trutenschinken)	166	699	0	1	3	32
Putenschnitzel natur (Truthahnschnitzel, Trutenschnitzel) (roh)	160	676	0	0	4,5	30
Putenschnitzel paniert (Truthahnschnitzel, Trutenschnitzel)	164	687	1,5	16	1,5	20
Putensteak natur, Putenfilet (Truthahnsteak, Trutensteak) (roh)	137	576	0	0,4	3,5	24,5
